"outcome","idea","user.submitted","ffvar","experts","mturkers"
"eviction","Child's birth weight",FALSE,"cm1lbw",15.2542,NA
"eviction","Child's exposure to someone smoking",TRUE,"hv4a24",NA,42.8571
"eviction","Child's exposure to someone smoking",TRUE,"p5h15c",NA,42.8571
"eviction","Child's exposure to someone smoking",TRUE,"p5q3cr",NA,42.8571
"eviction","Child's gender",FALSE,"cm1bsex",6.34921,16.6667
"eviction","Child's gender",FALSE,"hv4sex_child",6.34921,16.6667
"eviction","Child's learning disability",TRUE,"kind_a13",NA,8.33333
"eviction","Child's physical disability",TRUE,"hv3a2",NA,14.2857
"eviction","Child's race",FALSE,"f1h3",62.7451,29.8305
"eviction","Child's race",FALSE,"m1h3",62.7451,29.8305
"eviction","Divorce or separation",FALSE,"m2a8c",71.875,73.3788
"eviction","Domestic violence",TRUE,"f3a8b_7",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d7m",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d7n",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d7n1",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d7o",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9h",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9i",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9m",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9n",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9n1",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9o",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9p",73.4694,NA
"eviction","Domestic violence",TRUE,"f4a8b_7",73.4694,NA
"eviction","Domestic violence",TRUE,"f5b26x_10",73.4694,NA
"eviction","Domestic violence",TRUE,"f5f26b2_10",73.4694,NA
"eviction","Domestic violence",TRUE,"f5f28a_10",73.4694,NA
"eviction","Domestic violence",TRUE,"m3a8b_7",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7m",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7n",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7n1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7o",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7p",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7p1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9i",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9m",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9n",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9n1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9o",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9p",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9p1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3e23o",73.4694,NA
"eviction","Domestic violence",TRUE,"m3e23p",73.4694,NA
"eviction","Domestic violence",TRUE,"m3e23p1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3e23q",73.4694,NA
"eviction","Domestic violence",TRUE,"m4a8b_7",73.4694,NA
"eviction","Domestic violence",TRUE,"m5b30a1_10",73.4694,NA
"eviction","Domestic violence",TRUE,"m5f26b2_10",73.4694,NA
"eviction","Domestic violence",TRUE,"m5f28a_10",73.4694,NA
"eviction","Existing number of siblings",FALSE,"cf1kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cf2kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cf3kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cf4kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cf5kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm1kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm2kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm3kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm4kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm5kids",36.5079,46.5649
"eviction","Father's age at childbirth",FALSE,"cf1age",37.2881,42.2481
"eviction","Father's education",FALSE,"cf5edu",52,47.0383
"eviction","Father's incarceration",FALSE,"f3i29",85.1852,79.6364
"eviction","Father's multiple-job holding",FALSE,"f2k19a",47.7273,45.1505
"eviction","Father's multiple-job holding",FALSE,"f3k18",47.7273,45.1505
"eviction","Father's non-standard work hours",FALSE,"f2k18a",37.7358,56.2069
"eviction","Father's non-standard work hours",FALSE,"f3k17a",37.7358,56.2069
"eviction","Father's non-standard work hours",FALSE,"f4k16a",37.7358,56.2069
"eviction","Father's non-standard work hours",FALSE,"f5i16a",37.7358,56.2069
"eviction","Father's non-standard work hours",FALSE,"f5k17l",37.7358,56.2069
"eviction","Father absent at time of birth",FALSE,"m1a6",68.3333,60.7914
"eviction","Foreign-born father",FALSE,"f3h1a",21.7391,27.881
"eviction","Foreign-born father",FALSE,"f3h1b",21.7391,27.881
"eviction","Foreign-born mother",FALSE,"m3h1a",22.5,31.8182
"eviction","Foreign-born mother",FALSE,"m3h1b",22.5,31.8182
"eviction","Grandparents are present in household",TRUE,"cm3gdad",NA,26.6667
"eviction","Grandparents are present in household",TRUE,"cm3gmom",NA,26.6667
"eviction","Household income",FALSE,"cf1hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf2hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf2hhincb",83.871,67.7903
"eviction","Household income",FALSE,"cf3hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf3hhincb",83.871,67.7903
"eviction","Household income",FALSE,"cf4hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf4hhincb",83.871,67.7903
"eviction","Household income",FALSE,"cf5hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf5hhincb",83.871,67.7903
"eviction","Household income",FALSE,"cm1hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cm2hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cm3hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cm4hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cm5hhinc",83.871,67.7903
"eviction","Household size",FALSE,"cf1adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf1kids",37.2549,48.6755
"eviction","Household size",FALSE,"cf2adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf2kids",37.2549,48.6755
"eviction","Household size",FALSE,"cf3adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf3kids",37.2549,48.6755
"eviction","Household size",FALSE,"cf4adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf4kids",37.2549,48.6755
"eviction","Household size",FALSE,"cf5adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf5kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm1adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm1kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm2adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm2kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm3adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm3kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm4adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm4kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm5adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm5kids",37.2549,48.6755
"eviction","Income to poverty ratio",FALSE,"cf1inpov",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf2povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf2povcob",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf3povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf3povcob",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf4povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf4povcob",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf5povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf5povcob",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm1inpov",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm2povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm3povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm4povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm5povco",90.1961,71.2281
"eviction","Mother's age at childbirth",FALSE,"cm1age",63.1579,51.25
"eviction","Mother's age at childbirth",FALSE,"cm2fbir",63.1579,51.25
